"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WDMV","WSF1","WSF2","WSF5","WSFG","WSFM"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1956-02",,"0","14","10","1","1","0","16","3","0","14","1","1.4","1.01","59","3780","4.19",,"2.7","36.6","42.6","30.5",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1956-03",,"0","14","9","9","4","0","17","2","0","18","13","7.8","1.02","63","4637","5.04",,"21.1","37.4","43.7","31.0",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1956-04",,"5","12","8","2","1","0","0","0","0","33","3","4.2","0.75","84","5145","2.78",,"4.2","48.2","55.7","40.7",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1956-05",,"31","13","6","0","0","0","0","0","0","38","0","0.0","0.51","89","5368","2.21",,"0.0","58.6","67.9","49.4",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1956-06",,"243","9","7","0","0","0","0","0","5","53","0","0.0","1.04","99","5387","2.99",,"0.0","71.4","80.2","62.6",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1956-07",,"500","13","7","0","0","0","0","0","2","57","0","0.0","0.94","93","12","3.13",,"0.0","72.9","80.5","65.3",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1956-08",,"788","10","6","0","0","0","0","0","4","58","0","0.0","0.73","93","15","2.56",,"0.0","74.2","82.0","66.3",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1956-09",,"886","12","8","0","0","0","0","0","0","41","0","0.0","0.73","87","118","2.32",,"0.0","64.8","72.5","57.1",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1956-10",,"901","6","5","0","0","0","0","0","0","38","0","0.0","2.41","84","348","3.61",,"0.0","58.1","66.0","50.1",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1956-11",,"902","10","8","0","0","0","7","0","0","22","0","0.0","0.50","71","899","2.62",,"0.0","46.7","53.2","40.1",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1956-12",,"902","15","10","0","0","0","13","1","0","16","0","0.5","0.97","67","1647","3.29",,"0.9","40.9","47.1","34.6",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1957-01",,"0","13","7","8","3","1","26","11","0","0","4","2.9","0.49","60","2778","1.70",,"8.9","28.5","34.8","22.2",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1957-02",,"0","9","6","3","1","0","19","1","0","18","6","6.3","0.88","60","3556","2.43",,"7.0","37.2","43.4","31.1",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1957-03",,"0","12","5","2","1","0","9","0","0","24","2","2.5","0.51","69","4271","2.00",,"2.6","41.9","48.6","35.2",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1957-04",,"19","16","10","1","1","0","0","0","0","33","1","2.5","0.85","85","4643","4.52",,"2.5","53.2","62.1","44.3",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1957-05",,"90","7","3","0","0","0","0","0","0","39","0","0.0","2.55","87","4773","3.67",,"0.0","63.1","72.5","53.7",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1957-06",,"376","9","5","0","0","0","0","0","6","51","0","0.0","0.49","96","4781","1.85",,"0.0","74.3","83.2","65.3",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1957-07",,"769","8","4","0","0","0","0","0","10","58","0","0.0","0.67","101","0","1.47",,"0.0","77.7","87.2","68.1",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1957-08",,"1034","7","5","0","0","0","0","0","3","57","0","0.0","1.09","95","0","2.87",,"0.0","73.6","82.2","64.9",,,,,,,,,,,,
